variavel,metodo,q01_before,q01_after,q99_before,q99_after,outliers_before_|z|>4,outliers_after_|z|>4,delta_outliers
IND2,Winsor(1%-99%),-1.0234592992883422,-1.0234592992883422,4.264686155275442,4.264686155275442,69,69,0
IND4,Winsor(1%-99%),-4.028769662977239,-4.028769662977239,1.3502608625613843,1.3502608625613843,58,58,0
IND8,Winsor(1%-99%),-4.195792259561797,-4.195792259561797,0.6812697292543605,0.6812697292543605,61,61,0
INF4-DL,Winsor(1%-99%),-1.1362044930272392,-1.1362044930272392,2.8429651388970343,2.8429651388970343,26,0,26
INF4-UP,Winsor(1%-99%),-0.7671187950285514,-0.7671187950285514,3.119585875046732,3.119585875046732,28,0,28
"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)",Winsor(1%-99%),-0.4367338806555487,-0.4367338806555487,3.8901416464192757,3.8901416464192757,50,0,50
"Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)",Winsor(1%-99%),-0.16863636273006646,-0.16863636273006646,2.8620863681769055,2.8620863681769055,38,0,38
"Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)",Winsor(1%-99%),-0.08325910372568968,-0.08325910372568968,1.0537378743316417,1.0537378743316417,13,0,13
"Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social, 
a preços correntes
(R$ 1.000)",Winsor(1%-99%),-0.10538675685800501,-0.10538675685800501,1.0523378404439676,1.0523378404439676,8,0,8
"Valor adicionado bruto total, 
a preços correntes
(R$ 1.000)",Winsor(1%-99%),-0.12131185444770298,-0.12131185444770298,1.5500953985873176,1.5500953985873176,17,0,17
"Impostos, líquidos de subsídios, sobre produtos, 
a preços correntes
(R$ 1.000)",Winsor(1%-99%),-0.08605434493191015,-0.08605434493191015,1.1426822494369444,1.1426822494369444,16,0,16
"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)",Winsor(1%-99%),-0.11505409222662455,-0.11505409222662455,1.476893264569833,1.476893264569833,18,0,18
"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)",Winsor(1%-99%),-0.6365610315658491,-0.6365610315658491,3.8825843363652064,3.8825843363652064,55,0,55
POP__População residente (Pessoas),Winsor(1%-99%),-0.16837204269994327,-0.16837204269994327,1.8492696795196546,1.8492696795196546,19,0,19
POP__Área da unidade territorial (Quilômetros quadrados),Winsor(1%-99%),-0.26458438181767885,-0.26458438181767885,3.1840638797278507,3.1840638797278507,45,0,45
POP__Densidade demográfica (Habitante por quilômetro quadrado),Winsor(1%-99%),-0.19350576907067715,-0.19350576907067715,3.547634230910186,3.547634230910186,49,0,49
URB__Total,Winsor(1%-99%),-0.16837204269994327,-0.16837204269994327,1.8492696795196546,1.8492696795196546,19,0,19
URB__Urbana,Winsor(1%-99%),-0.15154986832374162,-0.15154986832374162,1.8435006381341852,1.8435006381341852,18,0,18
URB__Rural,Winsor(1%-99%),-0.7927598642719323,-0.7927598642719323,3.8844359626573475,3.8844359626573475,50,0,50
IDHM__Produto Interno Bruto per capita 2013,Winsor(1%-99%),-0.6601130233607904,-0.6601130233607904,3.3534916505616725,3.3534916505616725,45,0,45
IDHM__Produto Interno Bruto per capita 2014,Winsor(1%-99%),-0.652862603741995,-0.652862603741995,3.2308737780612833,3.2308737780612833,37,0,37
IDHM__Produto Interno Bruto per capita 2015,Winsor(1%-99%),-0.7278360309414565,-0.7278360309414565,3.5523140653112857,3.5523140653112857,43,0,43
IDHM__Produto Interno Bruto per capita 2016,Winsor(1%-99%),-0.7725948053357933,-0.7725948053357933,3.6782954940127293,3.6782954940127293,50,0,50
